City,Vehicle Type,Weather,Economic Condition,Day Of Week,Hour Of Day,Speed,Is Peak Hour,Random Event Occurred,Energy Consumption,Traffic Density
MetropolisX,Drone,Snowy,Booming,Thursday,0,54.762,0,0,32.7524,0.4261
Ecoopolis,Drone,Solar Flare,Booming,Tuesday,23,43.5827,0,0,21.7914,0.2565
Neuroburg,Autonomous Vehicle,Solar Flare,Booming,Sunday,17,79.0542,0,0,71.8675,0.1036
AquaCity,Drone,Snowy,Recession,Tuesday,16,82.4367,0,0,41.2183,0.2522
TechHaven,Autonomous Vehicle,Clear,Stable,Friday,13,58.7393,0,0,53.3993,0.2415
MetropolisX,Drone,Electromagnetic Storm,Recession,Sunday,19,50.0453,0,0,29.9314,0.184
Neuroburg,Drone,Electromagnetic Storm,Stable,Tuesday,7,80.4246,1,0,38.4807,0.1251
Neuroburg,Drone,Clear,Stable,Sunday,22,87.2217,0,0,49.5578,0.0739
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Monday,13,41.4928,0,0,33.1943,0.1358
Ecoopolis,Drone,Clear,Booming,Sunday,18,72.6438,0,0,36.3219,0.3152
MetropolisX,Autonomous Vehicle,Clear,Recession,Saturday,22,95.8318,0,0,87.1198,0.215
Ecoopolis,Car,Electromagnetic Storm,Stable,Sunday,18,86.3016,0,0,86.3016,0.3371
Neuroburg,Autonomous Vehicle,Clear,Stable,Wednesday,3,95.1267,0,0,86.4788,0.0796
TechHaven,Autonomous Vehicle,Solar Flare,Stable,Sunday,21,30.6116,0,0,27.8287,0.3842
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Stable,Tuesday,15,22.5322,0,0,21.5619,0.0869
Neuroburg,Autonomous Vehicle,Snowy,Stable,Sunday,5,33.9217,0,0,32.4609,0.0674
MetropolisX,Drone,Solar Flare,Recession,Tuesday,1,94.7131,0,0,53.8142,0.254
MetropolisX,Drone,Clear,Stable,Saturday,17,92.1615,0,0,52.3645,0.4418
Neuroburg,Autonomous Vehicle,Solar Flare,Recession,Tuesday,17,27.0622,1,0,19.6816,0.0205
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Recession,Tuesday,22,26.0667,0,0,20.8533,0.1015
Ecoopolis,Autonomous Vehicle,Solar Flare,Booming,Friday,22,26.4705,0,0,21.1764,0.2063
AquaCity,Autonomous Vehicle,Solar Flare,Recession,Sunday,12,27.2911,1,0,21.8328,0.2307
TechHaven,Autonomous Vehicle,Solar Flare,Booming,Monday,2,16.7329,0,0,15.2117,0.2575
TechHaven,Autonomous Vehicle,Clear,Recession,Tuesday,6,68.3727,0,1,62.157,0.1012
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Booming,Sunday,1,100.7423,0,0,96.4041,0.0929
AquaCity,Flying Car,Rainy,Stable,Friday,1,49.252,0,0,59.1024,0.7184
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Recession,Friday,17,90.3155,1,1,69.141,0.0353
AquaCity,Drone,Clear,Recession,Tuesday,10,75.6428,0,0,37.8214,0.1003
Neuroburg,Autonomous Vehicle,Solar Flare,Booming,Monday,7,31.5444,1,0,22.9414,0.1314
Neuroburg,Drone,Snowy,Recession,Tuesday,1,54.6268,0,0,32.6715,0.0138
Ecoopolis,Drone,Rainy,Recession,Sunday,7,77.2455,0,0,38.6227,0.1417
Neuroburg,Autonomous Vehicle,Snowy,Booming,Monday,17,104.4846,1,0,79.9882,0.0661
TechHaven,Autonomous Vehicle,Snowy,Booming,Thursday,1,42.805,0,0,40.9617,0.1941
SolarisVille,Car,Clear,Booming,Wednesday,0,30.8643,0,0,30.8643,0.5049
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Booming,Monday,21,44.3449,0,0,36.2695,0.0713
TechHaven,Drone,Clear,Booming,Sunday,23,41.681,0,0,23.6824,0.3316
TechHaven,Drone,Electromagnetic Storm,Recession,Friday,9,55.2164,0,0,33.0242,0.0582
TechHaven,Drone,Clear,Recession,Saturday,2,60.0913,0,0,34.1428,0.0368
MetropolisX,Drone,Snowy,Booming,Saturday,17,57.336,0,0,34.2919,0.5104
SolarisVille,Autonomous Vehicle,Rainy,Stable,Thursday,8,28.3195,1,0,22.6556,0.3388
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Monday,8,34.8017,1,0,27.8413,0.3693
Ecoopolis,Drone,Electromagnetic Storm,Recession,Thursday,2,91.3279,0,0,45.6639,0.092
Ecoopolis,Car,Electromagnetic Storm,Recession,Friday,10,79.0093,0,0,79.0093,0.0748
Neuroburg,Drone,Rainy,Recession,Tuesday,13,78.2106,0,0,46.7767,0.0376
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Booming,Sunday,6,76.1136,0,0,72.8359,0.3847
AquaCity,Flying Car,Rainy,Recession,Saturday,15,53.1588,0,0,63.7906,0.1361
SolarisVille,Autonomous Vehicle,Clear,Recession,Sunday,23,19.7831,0,0,17.585,0.2074
AquaCity,Drone,Clear,Recession,Tuesday,23,75.3348,0,0,37.6674,0.258
Ecoopolis,Autonomous Vehicle,Solar Flare,Recession,Sunday,16,84.1138,0,0,67.2911,0.1065
MetropolisX,Flying Car,Electromagnetic Storm,Recession,Thursday,8,132.4224,1,0,165.8871,0.5267
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Recession,Saturday,16,35.1969,0,0,33.6812,0.0227
Neuroburg,Autonomous Vehicle,Solar Flare,Stable,Sunday,9,61.6097,0,0,56.0088,0.0566
Neuroburg,Autonomous Vehicle,Rainy,Recession,Monday,8,40.5598,1,0,31.0505,0.0316
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Tuesday,7,66.552,1,0,50.9489,0.3076
Neuroburg,Autonomous Vehicle,Snowy,Booming,Tuesday,12,71.6281,0,0,68.5436,0.1195
TechHaven,Drone,Clear,Stable,Thursday,6,41.0324,0,0,32.3804,0.3143
MetropolisX,Autonomous Vehicle,Solar Flare,Booming,Sunday,8,28.8353,0,1,23.0682,0.7629
Ecoopolis,Autonomous Vehicle,Rainy,Recession,Wednesday,20,52.8844,0,0,47.0084,0.1537
Ecoopolis,Drone,Clear,Stable,Thursday,10,67.0366,0,0,33.5183,0.2374
Ecoopolis,Autonomous Vehicle,Rainy,Recession,Saturday,3,90.6058,0,0,72.4846,0.0612
TechHaven,Autonomous Vehicle,Clear,Recession,Tuesday,3,82.4126,0,0,74.9206,0.0518
Ecoopolis,Autonomous Vehicle,Clear,Stable,Wednesday,10,20.5876,0,0,16.4701,0.1359
TechHaven,Autonomous Vehicle,Solar Flare,Recession,Wednesday,17,79.5364,1,0,57.8447,0.0695
AquaCity,Autonomous Vehicle,Clear,Recession,Wednesday,8,47.6074,1,0,38.0859,0.2163
TechHaven,Autonomous Vehicle,Rainy,Booming,Thursday,19,32.6622,0,0,45.2195,0.3466
TechHaven,Autonomous Vehicle,Clear,Recession,Saturday,22,86.6063,0,0,78.733,0.036
TechHaven,Drone,Rainy,Booming,Saturday,22,66.1592,0,0,39.5689,0.2467
TechHaven,Autonomous Vehicle,Rainy,Stable,Friday,23,53.3564,0,0,51.0588,0.1191
TechHaven,Autonomous Vehicle,Clear,Stable,Tuesday,2,55.6624,0,0,50.6022,0.2764
AquaCity,Autonomous Vehicle,Rainy,Recession,Wednesday,16,29.6392,0,0,23.7113,0.0635
TechHaven,Autonomous Vehicle,Snowy,Stable,Tuesday,11,44.7366,0,0,42.8101,0.1836
Ecoopolis,Car,Rainy,Booming,Sunday,11,86.4,0,0,88.8321,0.2931
MetropolisX,Autonomous Vehicle,Clear,Recession,Friday,7,40.0048,1,0,29.0944,0.1189
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Stable,Thursday,14,72.3405,0,0,57.8724,0.6314
Ecoopolis,Car,Snowy,Booming,Monday,2,38.4812,0,1,38.4812,0.4399
TechHaven,Drone,Clear,Stable,Tuesday,1,43.5704,0,0,24.7559,0.2606
MetropolisX,Autonomous Vehicle,Clear,Stable,Sunday,17,102.2957,0,0,92.9961,0.4548
Ecoopolis,Car,Electromagnetic Storm,Stable,Thursday,7,26.3477,1,0,26.3477,0.3872
MetropolisX,Autonomous Vehicle,Rainy,Recession,Wednesday,12,76.573,0,0,73.2756,0.1115
TechHaven,Drone,Electromagnetic Storm,Recession,Thursday,8,52.7537,1,0,25.241,0.0924
Neuroburg,Autonomous Vehicle,Clear,Stable,Tuesday,11,32.5102,0,0,29.5547,0.0747
SolarisVille,Autonomous Vehicle,Solar Flare,Booming,Tuesday,21,32.189,0,0,28.6125,0.1843
AquaCity,Autonomous Vehicle,Solar Flare,Booming,Friday,8,86.4,1,0,85.0757,0.5555
Neuroburg,Autonomous Vehicle,Rainy,Recession,Sunday,1,67.5556,0,1,64.6465,0.0387
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Saturday,1,62.8571,0,1,50.2857,0.1962
Neuroburg,Autonomous Vehicle,Rainy,Booming,Monday,19,101.4115,0,1,109.6583,0.0741
AquaCity,Car,Solar Flare,Recession,Thursday,23,65.3388,0,0,65.3388,0.2861
SolarisVille,Autonomous Vehicle,Clear,Stable,Thursday,6,21.9869,0,0,17.5895,0.4367
AquaCity,Drone,Rainy,Recession,Friday,14,32.8386,0,0,16.4193,0.0951
SolarisVille,Drone,Solar Flare,Booming,Sunday,18,48.1503,0,0,24.0752,0.2204
Neuroburg,Drone,Solar Flare,Stable,Saturday,1,63.5734,0,0,36.1212,0.1214
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Sunday,21,78.0143,0,1,74.6548,0.1484
AquaCity,Flying Car,Snowy,Booming,Tuesday,2,38.2851,0,0,45.9422,0.8769
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Booming,Saturday,9,92.9456,0,1,88.9432,0.2709
Ecoopolis,Flying Car,Electromagnetic Storm,Recession,Saturday,16,43.1249,0,0,51.7499,0.1005
AquaCity,Flying Car,Snowy,Booming,Saturday,13,12.1134,1,0,14.5361,0.7376
SolarisVille,Autonomous Vehicle,Snowy,Booming,Friday,2,50.4936,0,0,40.3949,0.2263
Neuroburg,Autonomous Vehicle,Solar Flare,Booming,Tuesday,16,99.9956,0,0,90.9051,0.0698
Ecoopolis,Flying Car,Rainy,Recession,Friday,1,44.632,0,0,53.5584,0.1584
AquaCity,Autonomous Vehicle,Snowy,Stable,Saturday,5,52.8391,0,0,42.2712,0.4774
AquaCity,Autonomous Vehicle,Snowy,Booming,Saturday,3,33.926,0,0,27.1408,0.5898
AquaCity,Autonomous Vehicle,Clear,Recession,Thursday,13,56.1398,0,0,44.9118,0.0767
MetropolisX,Autonomous Vehicle,Clear,Stable,Friday,3,30.203,0,0,33.5589,0.9153
MetropolisX,Autonomous Vehicle,Solar Flare,Stable,Saturday,9,112.7392,0,0,102.4902,0.356
AquaCity,Autonomous Vehicle,Clear,Stable,Friday,4,34.4879,0,0,27.5903,0.3142
Ecoopolis,Drone,Solar Flare,Stable,Sunday,3,96,0,0,52.6993,0.5394
MetropolisX,Autonomous Vehicle,Rainy,Stable,Monday,3,38.3482,0,0,36.6969,0.4954
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Booming,Thursday,16,120.384,0,0,116.4207,0.6609
Ecoopolis,Drone,Rainy,Stable,Wednesday,8,18.1274,1,0,9.0637,0.1659
MetropolisX,Car,Clear,Recession,Monday,11,62.5111,0,0,112.7545,0.0764
Neuroburg,Autonomous Vehicle,Solar Flare,Recession,Tuesday,11,24.7793,0,0,22.5267,0.0218
Neuroburg,Autonomous Vehicle,Rainy,Stable,Thursday,23,75.3525,0,0,72.1077,0.0533
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Booming,Saturday,22,69.0459,0,0,55.2367,0.5454
TechHaven,Drone,Rainy,Booming,Monday,12,29.6509,0,0,17.7338,0.2609
AquaCity,Drone,Electromagnetic Storm,Recession,Thursday,15,23.5273,0,0,13.0707,0.2528
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Thursday,17,44.7815,1,0,34.2825,0.2543
MetropolisX,Drone,Rainy,Booming,Wednesday,4,71.4009,0,0,42.7039,0.6871
SolarisVille,Autonomous Vehicle,Snowy,Stable,Monday,8,43.8737,1,0,35.099,0.5689
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Booming,Tuesday,6,66.6628,0,0,53.3302,0.5877
TechHaven,Autonomous Vehicle,Solar Flare,Recession,Wednesday,13,27.2977,0,0,34.4668,0.1063
MetropolisX,Autonomous Vehicle,Snowy,Booming,Sunday,20,98.8604,0,0,94.6033,0.434
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Booming,Friday,8,86.0084,1,0,65.8437,0.08
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Recession,Tuesday,15,75.6581,0,0,60.5265,0.2732
Neuroburg,Autonomous Vehicle,Snowy,Stable,Thursday,23,35.6321,0,0,34.0977,0.0616
Neuroburg,Autonomous Vehicle,Rainy,Stable,Thursday,5,48.5656,0,0,46.4742,0.0964
MetropolisX,Autonomous Vehicle,Rainy,Recession,Wednesday,1,45.2906,0,0,43.3403,0.3778
Neuroburg,Autonomous Vehicle,Clear,Recession,Friday,12,14.8153,0,1,14.965,0.0565
MetropolisX,Autonomous Vehicle,Rainy,Booming,Friday,19,74.9255,0,0,72.4233,0.6789
SolarisVille,Drone,Rainy,Stable,Saturday,17,67.4999,0,0,33.75,0.3204
Ecoopolis,Drone,Clear,Recession,Monday,7,84.48,1,0,52.8619,0.0729
AquaCity,Car,Electromagnetic Storm,Stable,Sunday,13,86.4,1,0,102.1339,1.0539
MetropolisX,Autonomous Vehicle,Snowy,Booming,Friday,9,104.8586,0,0,88.302,0.7371
Neuroburg,Drone,Solar Flare,Booming,Saturday,23,77.2522,0,0,43.8933,0.1602
SolarisVille,Drone,Rainy,Booming,Tuesday,9,36.999,0,0,18.4995,0.4687
MetropolisX,Autonomous Vehicle,Rainy,Recession,Sunday,7,105.3779,0,1,100.8401,0.301
SolarisVille,Drone,Snowy,Booming,Sunday,5,100.4629,0,0,50.2314,0.4026
MetropolisX,Autonomous Vehicle,Snowy,Booming,Friday,9,39.4885,0,0,37.788,0.5251
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Sunday,5,64.7435,0,0,61.9555,0.4523
Ecoopolis,Autonomous Vehicle,Solar Flare,Booming,Wednesday,3,55.7979,0,0,44.6383,0.2116
SolarisVille,Autonomous Vehicle,Snowy,Stable,Tuesday,10,72.0442,0,0,57.6353,0.3654
MetropolisX,Car,Snowy,Stable,Wednesday,19,29.1974,0,0,34.9251,0.4019
TechHaven,Autonomous Vehicle,Snowy,Stable,Thursday,5,49.0725,0,0,46.9593,0.2417
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Stable,Thursday,23,73.0923,0,0,58.4738,0.2169
Ecoopolis,Drone,Rainy,Booming,Friday,23,73.3564,0,0,36.6782,0.1661
MetropolisX,Autonomous Vehicle,Rainy,Stable,Sunday,3,106.9753,0,0,102.3688,0.2748
TechHaven,Autonomous Vehicle,Clear,Stable,Monday,19,112.2947,0,0,94.5242,0.2249
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Sunday,3,56.679,0,0,45.3432,0.2115
SolarisVille,Autonomous Vehicle,Rainy,Booming,Monday,5,67.6239,0,0,54.0991,0.2347
AquaCity,Autonomous Vehicle,Snowy,Booming,Saturday,10,29.2595,0,0,23.4076,0.3867
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Stable,Thursday,0,27.3161,0,0,26.1398,0.0653
SolarisVille,Car,Clear,Recession,Friday,2,69.5322,0,0,69.5322,0.1131
SolarisVille,Drone,Solar Flare,Booming,Tuesday,14,27.7507,0,1,13.8753,0.1228
MetropolisX,Autonomous Vehicle,Rainy,Stable,Saturday,16,26.7703,0,0,25.6175,0.5115
TechHaven,Autonomous Vehicle,Rainy,Recession,Tuesday,19,33.2845,0,0,29.4918,0.0587
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Stable,Friday,23,65.1787,0,0,52.1429,0.3637
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Booming,Saturday,7,24.5429,0,0,23.486,0.234
Neuroburg,Autonomous Vehicle,Clear,Recession,Thursday,21,26.83,0,1,20.8469,0.0201
SolarisVille,Autonomous Vehicle,Clear,Stable,Saturday,2,63.2871,0,0,50.6296,0.5569
SolarisVille,Car,Snowy,Stable,Monday,20,39.9489,0,0,39.9489,0.4242
SolarisVille,Autonomous Vehicle,Snowy,Stable,Monday,4,60.1104,0,0,48.0884,0.2773
Ecoopolis,Flying Car,Snowy,Booming,Tuesday,17,47.8711,1,1,57.4454,0.2934
AquaCity,Autonomous Vehicle,Snowy,Booming,Saturday,7,16.8804,0,0,13.5043,0.7157
TechHaven,Drone,Rainy,Recession,Wednesday,2,43.6531,0,0,26.1083,0.063
MetropolisX,Autonomous Vehicle,Clear,Booming,Thursday,15,103.68,0,0,122.9405,1.1955
MetropolisX,Autonomous Vehicle,Clear,Stable,Friday,22,53.0737,0,0,48.2488,0.5597
TechHaven,Autonomous Vehicle,Solar Flare,Booming,Monday,23,60.1458,0,0,54.678,0.2206
Ecoopolis,Car,Electromagnetic Storm,Recession,Saturday,16,51.3659,0,0,51.3659,0.101
TechHaven,Drone,Snowy,Stable,Sunday,18,28.2497,0,0,16.8958,0.1699
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Stable,Monday,20,66.4128,0,0,59.0336,0.1471
Neuroburg,Autonomous Vehicle,Rainy,Stable,Tuesday,15,99.2467,0,0,94.9729,0.0449
SolarisVille,Flying Car,Solar Flare,Booming,Monday,19,101.501,0,0,121.8012,0.1647
TechHaven,Drone,Solar Flare,Recession,Sunday,6,36.7516,0,1,20.8816,0.1555
AquaCity,Drone,Clear,Recession,Wednesday,23,22.822,0,0,11.411,0.1037
MetropolisX,Autonomous Vehicle,Clear,Booming,Tuesday,11,57.7441,0,0,64.1601,1.1897
AquaCity,Drone,Clear,Stable,Friday,4,98.6966,0,0,49.3483,0.4763
SolarisVille,Drone,Snowy,Booming,Saturday,4,32.2477,0,0,16.1238,0.2017
SolarisVille,Autonomous Vehicle,Rainy,Recession,Wednesday,0,61.2787,0,0,49.0229,0.1066
MetropolisX,Drone,Rainy,Stable,Saturday,14,24.7759,1,1,13.0399,0.7456
SolarisVille,Drone,Solar Flare,Recession,Wednesday,2,55.3435,0,0,27.6717,0.11
